organization,family,name,access,model_size,price_per_2k_images,release_date,vram_requirements,Overall,Spatial,Depth,Condition,Detection,Interaction,Color,Puzzle
Microsoft,Phi4,Phi4 Multimodal,Open,5.6B,0.3538,2025-02-24,12GB,0.5358667953667954,0.686,0.5675675675675675,0.5025,0.37,0.83,0.54,0.255
OpenGVLab,InternVL2,InternVL2 2B,Open,2B,,2024-07-02,5GB,0.30798648648648647,0.318,0.20540540540540542,0.23,0.175,0.73,0.2625,0.235
OpenGVLab,InternVL2,InternVL2 4B,Open,4B,,2024-07-02,9GB,0.36812741312741315,0.49,0.2918918918918919,0.285,0.19,0.94,0.18,0.2
OpenGVLab,InternVL2,InternVL2 8B,Open,8B,,2024-07-03,17GB,0.5388474903474904,0.862,0.43243243243243246,0.365,0.55,0.96,0.3475,0.255
Google,Gemma 3,Gemma 3 12B,Open,12B,,2025-03-12,25GB,0.3385540540540541,0.424,0.3783783783783784,0.4575,0.215,0.23,0.42,0.245
Google,Gemma 3,Gemma 3 27B,Open,27B,1.0,2025-03-12,55GB,0.4405521235521236,0.574,0.4648648648648649,0.475,0.455,0.28,0.545,0.29
OpenGVLab,InternVL2.5,InternVL2.5 1B,Open,1B,,2024-11-22,2GB,0.38190154440154445,0.7,0.41081081081081083,0.0425,0.195,0.96,0.165,0.2
OpenGVLab,InternVL2.5,InternVL2.5 4B,Open,4B,,2024-11-21,9GB,0.50242277992278,0.68,0.4594594594594595,0.48,0.325,0.85,0.4775,0.245
OpenGVLab,InternVL3,InternVL3 1B,Open,1B,,2025-04-11,2GB,0.3907876447876448,0.382,0.5135135135135135,0.195,0.25,0.95,0.24,0.205
OpenGVLab,InternVL3,InternVL3 2B,Open,2B,,2025-04-11,5GB,0.5199324324324324,0.84,0.42702702702702705,0.245,0.585,0.95,0.3225,0.27
OpenGVLab,InternVL3,InternVL3 8B,Open,8B,,2025-04-11,16GB,0.6477046332046333,0.914,0.8324324324324325,0.545,0.4,0.93,0.5525,0.36
Google,Gemma 3,Gemma 3 4B,Open,4B,0.1,2025-03-12,8GB,0.3394131274131274,0.394,0.4918918918918919,0.4925,0.17,0.25,0.3075,0.27
Google,MedGemma,MedGemma 4B,Open,4B,,2025-05-20,9GB,0.37585714285714283,0.306,0.4,0.24,0.295,0.94,0.215,0.235
Lingshu,Lingshu,Lingshu 7B,Open,7B,,2025-06-06,18GB,0.6169864864864865,0.836,0.6054054054054054,0.4725,0.675,0.94,0.59,0.2
Microsoft,Phi3,Phi3 Vision,Open,4.2B,,2024-05-20,8.5GB,0.36720463320463326,0.708,0.23243243243243245,0.3,0.175,0.72,0.225,0.21
Microsoft,Phi3.5,Phi3.5 Vision,Open,4.2B,,2024-08-19,8.5GB,0.5286100386100386,0.56,0.4702702702702703,0.47,0.68,0.94,0.36,0.22
Nvidia,Nemotron,Nemotron Nano VL 8B V1,Open,8B,,2025-06-03,18GB,0.668631274131274,0.864,0.518918918918919,0.815,0.795,0.97,0.4925,0.225
Google,Gemini 2.5,Gemini 2.5 Flash Preview (05-20),Closed,,1.238,2025-06-20,,0.7897837837837837,0.942,0.6864864864864865,0.9375,0.875,0.81,0.9025,0.375
Google,Gemini 2.5,Gemini 2.5 Pro,Closed,,8.0,2025-02-15,,0.7678648648648648,0.826,0.8540540540540541,0.945,0.67,0.79,0.955,0.335
Meta,Llama4,Llama 4 Scout,Open,17B,,2025-04-05,220GB,0.65196138996139,0.624,0.7297297297297297,0.7375,0.84,0.65,0.6325,0.35
Meta,Llama4,Llama 4 Maverick,Open,17B,,2025-04-05,900GB,0.6194710424710425,0.604,0.6972972972972973,0.79,0.6,0.54,0.795,0.31
OpenAI,GPT-4.1,GPT-4.1,Closed,,9.02,2025-04-14,,0.7900984555984556,0.874,0.7891891891891892,0.8825,0.87,0.85,0.87,0.395
OpenAI,GPT-4.1,GPT-4.1 mini,Closed,,1.656,2025-04-14,,0.7981563706563707,0.92,0.7945945945945946,0.8675,0.875,0.9,0.84,0.39
OpenAI,GPT-4.1,GPT-4.1 nano,Closed,,0.55,2025-04-13,,0.46094208494208494,0.372,0.5945945945945946,0.485,0.44,0.67,0.405,0.26
OpenAI,GPT-4o,GPT-4o (2024-08-06),Closed,,7.226,2024-08-06,,0.6945559845559846,0.74,0.6918918918918919,0.84,0.725,0.7,0.795,0.37
OpenAI,GPT-4o,GPT-4o-mini (2024-07-18),Closed,,14.5,2024-07-18,,0.5799555984555985,0.778,0.3891891891891892,0.6125,0.555,0.95,0.515,0.26
Anthropic,Claude 3.5,Claude 3.5 Sonnet (2024-06-20),Closed,,9.6,2024-06-20,,0.7701312741312742,0.912,0.7189189189189189,0.8825,0.885,0.95,0.7175,0.325
Anthropic,Claude 4,Claude Sonnet 4,Closed,,9.6,2025-05-14,,0.6323764478764479,0.624,0.7351351351351352,0.8225,0.58,0.66,0.75,0.255
Anthropic,Claude 3.7,Claude 3.7 Sonnet (2025-02-19),Closed,,9.6,2025-02-19,,0.7400907335907336,0.868,0.7351351351351352,0.8325,0.78,0.87,0.74,0.355
OpenAI,GPT-5,GPT-5,Closed,,9.02,2025-08-07,,0.8106196911196911,0.764,0.8378378378378378,0.9125,0.835,0.86,0.945,0.52
OpenAI,GPT-5,GPT-5 mini,Closed,,1.656,2025-08-07,,0.720557915057915,0.806,0.8054054054054054,0.89,0.67,0.59,0.9125,0.37
OpenAI,GPT-5,GPT-5 nano,Closed,,0.55,2025-08-07,,0.745084942084942,0.926,0.7945945945945946,0.7225,0.825,0.89,0.6975,0.36
